gender,age,class,country,survived
female,26,3rd,Sweden,yes
male,21,3rd,Sweden,no
male,11,3rd,Lebanon,yes
female,14,3rd,Lebanon,yes
male,41,3rd,Finland,no
male,39,3rd,United States,yes
male,20,3rd,Lebanon,no
male,27,2nd,Scotland,no
male,21,3rd,England,no
male,20,1st,Germany,yes
female,29,2nd,United States,yes
female,22,3rd,Sweden,yes
male,60,3rd,Norway,no
male,21,3rd,Ireland,no
female,26,3rd,Ireland,yes
male,27,3rd,Ireland,no
male,18,3rd,Ireland,no
male,17,3rd,Ireland,no
male,23,3rd,Ireland,no
male,23,3rd,Sweden,no
female,24,3rd,Ireland,yes
female,22,3rd,Sweden,yes
male,21,3rd,Ireland,yes
female,16,3rd,Ireland,yes
female,39,1st,Spain,yes
male,9,3rd,Norway,yes
male,28,3rd,Norway,no
male,42,3rd,United States,no
male,27,3rd,Norway,no
female,31,3rd,Sweden,no
male,28,3rd,Sweden,no
male,32,3rd,Sweden,yes
male,20,3rd,Norway,no
male,29,1st,France,yes
female,23,3rd,Croatia,no
female,20,3rd,Croatia,no
male,20,3rd,Croatia,no
male,16,3rd,Sweden,no
female,22,1st,United States,yes
male,64,1st,United States,no
female,21,3rd,Ireland,no
male,38,2nd,United States,no
male,36,1st,Cuba,no
male,22,2nd,England,yes
male,27,2nd,Spain,yes
male,23,2nd,Canada,no
male,29,2nd,Spain,yes
male,2,3rd,Sweden,no
male,6,3rd,Sweden,no
female,3,3rd,Sweden,no
female,8,3rd,Sweden,no
female,29,3rd,Sweden,no
male,1,3rd,Finland,no
male,15,3rd,United States,no
male,7,3rd,Finland,no
male,2,3rd,Finland,no
male,16,3rd,Finland,no
female,41,3rd,Finland,no
male,17,2nd,Channel Islands,no
male,21,2nd,Northern Ireland,no
female,59,2nd,United States,yes
male,30,1st,England,no
male,40,1st,England,no
male,21,3rd,Slovenia,no
male,20,3rd,England,no
male,32,3rd,Croatia,no
male,23,1st,Canada,no
male,0.583333333,3rd,England,no
female,4,3rd,England,no
female,26,3rd,England,no
male,32,3rd,England,no
female,22,1st,England,yes
male,29,1st,England,no
male,28,3rd,Norway,no
male,24,3rd,England,no
male,21,3rd,Finland,no
male,25,3rd,Finland,no
female,22,1st,Spain,yes
male,24,1st,Spain,no
male,19,2nd,England,no
male,24,3rd,England,no
male,39,2nd,France,no
female,33,1st,Canada,yes
male,25,3rd,Sweden,yes
male,41,2nd,Germany,no
female,28,3rd,Croatia,no
male,4,3rd,Lebanon,yes
female,2,3rd,Lebanon,yes
male,24,3rd,England,no
female,28,3rd,Ireland,no
male,19,3rd,Bulgaria,no
male,29,3rd,Bulgaria,no
female,18,3rd,Sweden,no
male,25,3rd,Sweden,no
male,52,1st,Canada,yes
female,21,2nd,England,yes
female,19,2nd,England,yes
male,43,2nd,England,no
male,33,3rd,Poland,yes
female,32,2nd,Poland,yes
male,17,3rd,Croatia,no
male,24,3rd,Croatia,no
male,24,2nd,England,no
male,30,2nd,United States,yes
male,46,1st,United States,no
female,56,1st,United States,yes
male,27,2nd,United States,no
male,21,3rd,Lebanon,no
female,63,3rd,Norway,no
male,30,3rd,Lebanon,no
male,18,3rd,Wales,no
male,36,2nd,England,no
male,38,3rd,Bosnia,no
male,33,2nd,Channel Islands,no
female,30,2nd,Channel Islands,yes
male,37,1st,Netherlands,no
female,29,2nd,Spain,yes
male,21,3rd,England,no
male,33,1st,United States,yes
male,10,3rd,Ireland,no
male,4,3rd,Ireland,no
male,7,3rd,Ireland,no
male,2,3rd,Ireland,no
male,8,3rd,Ireland,no
female,39,3rd,Ireland,no
male,0.75,2nd,England,yes
male,3,2nd,England,yes
female,24,2nd,England,yes
female,58,2nd,England,yes
female,22,3rd,Finland,no
male,35,3rd,Finland,no
female,22,3rd,Ireland,yes
male,69,3rd,England,no
female,64,3rd,England,no
female,43,1st,United States,yes
male,50,3rd,England,no
female,48,3rd,England,no
male,45,1st,England,no
male,31,1st,United States,no
male,18,2nd,England,no
male,30,3rd,Wales,no
male,45,1st,United States,yes
male,49,3rd,Norway,no
male,39,1st,United States,no
female,2,3rd,Finland,no
female,41,3rd,Finland,no
male,18,3rd,Finland,no
female,33,1st,France,yes
male,46,1st,United States,no
male,36,1st,Canada,no
female,33,1st,England,yes
female,26,3rd,Austria,yes
male,46,1st,United States,no
female,54,1st,United States,yes
male,55,3rd,England,no
male,59,1st,Peru,no
female,22,2nd,Channel Islands,yes
male,17,3rd,England,no
male,24,3rd,Ireland,yes
male,30,3rd,Ireland,no
male,13,1st,United States,yes
female,18,1st,United States,yes
female,21,1st,United States,yes
male,61,1st,United States,no
female,48,1st,United States,yes
male,30,3rd,Lebanon,no
male,27,3rd,Lebanon,no
male,47,1st,England,yes
male,19,3rd,Ireland,no
male,17,3rd,England,no
male,43,3rd,Norway,no
male,13,3rd,England,no
male,5,3rd,England,no
female,8,3rd,England,no
female,14,3rd,England,no
female,10,3rd,England,no
female,21,3rd,England,no
male,18,3rd,England,no
male,17,3rd,England,no
male,20,3rd,England,no
male,45,3rd,England,no
female,45,3rd,England,no
male,24,3rd,Sweden,no
female,21,3rd,Norway,yes
male,43,1st,United States,yes
male,29,3rd,United States,no
male,17,3rd,Lebanon,no
male,40,3rd,Lebanon,no
male,16,3rd,Lebanon,no
female,1,3rd,Sweden,yes
female,4,3rd,Sweden,yes
female,24,3rd,Sweden,yes
male,21,3rd,Belgium,yes
male,19,3rd,England,no
male,24,3rd,England,no
male,22,3rd,Ireland,no
female,35,1st,Germany,yes
male,29,3rd,Belgium,yes
male,22,2nd,England,no
male,28,2nd,England,no
male,10,3rd,Lebanon,no
male,34,1st,United States,yes
male,29,2nd,England,no
male,27,3rd,Ireland,no
male,55,3rd,England,no
female,25,2nd,United States,yes
male,26,3rd,Lebanon,no
female,20,3rd,Ireland,yes
male,22,3rd,England,no
female,40,1st,United States,yes
female,17,2nd,Finland,yes
male,35,1st,United States,yes
female,39,1st,United States,yes
male,51,1st,United States,no
male,40,3rd,England,no
male,56,1st,Switzerland,yes
female,20,2nd,England,yes
female,30,2nd,Finland,yes
male,22,3rd,Turkey,no
male,20,3rd,England,no
male,40,3rd,Bosnia,no
male,21,3rd,United States,no
female,18,3rd,Finland,yes
male,59,2nd,Sweden,no
male,5,3rd,United States,no
male,11,3rd,United States,no
female,9,3rd,United States,no
female,2,3rd,United States,no
female,43,3rd,Sweden,no
male,40,3rd,Sweden,no
female,30,2nd,Canada,yes
male,35,2nd,England,no
male,20,3rd,England,no
male,28,1st,United States,yes
male,56,1st,England,no
male,37,3rd,Croatia,no
female,49,2nd,England,yes
male,56,1st,France,no
male,24,1st,United States,no
male,57,1st,England,no
female,18,1st,United States,yes
female,18,3rd,Ireland,yes
male,27,3rd,Ireland,no
male,24,1st,United States,yes
female,23,1st,United States,yes
male,25,2nd,England,no
male,19,3rd,Norway,no
male,31,3rd,England,no
male,23,3rd,England,no
male,6,1st,United States,yes
male,45,1st,United States,yes
female,39,1st,United States,yes
female,48,1st,United States,yes
male,57,1st,United States,no
male,31,3rd,England,no
male,32,1st,Switzerland,yes
male,23,3rd,Bulgaria,no
male,33,3rd,Croatia,no
female,24,3rd,England,yes
male,22,3rd,England,no
male,42,2nd,United States,no
male,62,1st,England,no
male,54,1st,United States,yes
female,43,1st,Ireland,yes
female,52,1st,United States,yes
male,64,1st,United States,no
male,24,2nd,England,no
female,61,1st,United States,yes
male,59,3rd,England,no
male,19,3rd,Bulgaria,no
female,22,3rd,Finland,no
male,30,3rd,Finland,yes
male,67,1st,United States,no
female,63,1st,Germany,no
male,27,3rd,Croatia,no
female,2,3rd,United States,no
female,29,3rd,Sweden,no
male,20,3rd,England,yes
male,44,3rd,Finland,yes
male,25,3rd,England,no
male,61,1st,England,no
male,74,3rd,Sweden,no
male,14,3rd,Sweden,yes
male,24,3rd,Sweden,no
male,19,2nd,England,no
male,14,2nd,England,no
female,46,1st,United States,yes
male,0.416666667,3rd,Lebanon,yes
male,30,3rd,Lebanon,no
female,16,3rd,Lebanon,yes
female,18,1st,United States,yes
male,52,1st,United States,no
female,39,1st,United States,yes
male,48,1st,United States,yes
female,49,1st,United States,yes
male,25,3rd,Sweden,yes
male,49,1st,United States,no
male,17,1st,United States,yes
female,39,1st,United States,yes
male,34,3rd,England,no
male,37,3rd,Scotland,no
female,38,1st,United States,yes
male,37,3rd,England,no
female,33,3rd,England,yes
male,32,3rd,Finland,no
male,20,3rd,Ireland,no
male,23,3rd,Bulgaria,no
male,22,3rd,England,no
female,48,2nd,Ireland,yes
male,41,3rd,England,no
male,20,3rd,Lebanon,no
male,26,3rd,Sweden,yes
male,25,3rd,Bulgaria,no
male,23,2nd,England,no
female,27,2nd,Scotland,yes
female,27,2nd,England,yes
male,31,1st,United States,yes
male,8,3rd,Lebanon,yes
female,9,3rd,Lebanon,yes
female,27,3rd,Lebanon,yes
male,36,3rd,Croatia,no
female,18,3rd,Finland,yes
female,63,3rd,Finland,yes
female,26,2nd,England,no
male,29,2nd,England,no
male,39,1st,Mexico,no
male,10,3rd,England,no
male,9,3rd,England,no
male,35,3rd,England,no
male,28,3rd,Belgium,no
male,46,3rd,Belgium,no
male,61,1st,United States,no
female,18,3rd,Belgium,no
male,31,3rd,Belgium,no
male,15,3rd,Belgium,no
female,31,3rd,Belgium,no
male,35,3rd,Belgium,no
male,28,3rd,Belgium,no
female,10,3rd,Belgium,no
male,36,3rd,Belgium,no
female,30,3rd,Belgium,no
male,23,3rd,Belgium,no
male,22,3rd,Turkey,yes
male,40,2nd,United States,no
male,20,3rd,Sweden,no
female,14,3rd,Sweden,no
male,21,3rd,Slovenia,no
male,22,3rd,Belgium,no
male,48,1st,United States,no
female,36,2nd,England,yes
male,35,3rd,England,no
male,47,2nd,England,no
female,32,2nd,England,yes
male,23,2nd,England,no
male,31,3rd,England,no
male,63,1st,United States,no
female,60,1st,England,yes
male,19,2nd,Northern Ireland,no
female,12,2nd,Scotland,yes
female,40,2nd,Scotland,yes
male,23,3rd,Lebanon,no
female,37,2nd,England,yes
male,66,3rd,England,no
male,59,1st,United States,no
male,37,2nd,Hungary,no
female,37,2nd,England,yes
male,2,2nd,England,yes
female,4,2nd,England,yes
female,29,2nd,England,yes
male,27,3rd,Sweden,yes
female,0.833333333,2nd,England,yes
female,4,2nd,England,yes
male,36,2nd,England,no
female,33,2nd,England,yes
male,65,2nd,England,no
male,26,2nd,England,no
male,31,2nd,England,yes
male,54,1st,United States,no
male,21,1st,United States,no
male,57,1st,United States,no
female,31,1st,United States,yes
female,45,1st,United States,yes
male,51,3rd,Sweden,no
male,50,1st,United States,no
male,27,1st,United States,no
female,50,1st,United States,yes
male,18,3rd,Finland,no
male,21,3rd,Finland,no
female,47,3rd,England,yes
female,30,2nd,England,yes
female,21,1st,United States,yes
male,21,3rd,Wales,no
male,51,1st,Switzerland,no
male,23,2nd,England,yes
male,43,1st,United States,no
male,28,3rd,England,no
male,28,3rd,Wales,no
male,21,1st,Switzerland,yes
male,21,3rd,South Africa,no
male,27,3rd,Switzerland,no
male,54,3rd,England,no
male,36,3rd,Belgium,no
male,46,1st,England,yes
female,26,2nd,England,yes
male,62,1st,Canada,no
male,27,3rd,Lebanon,no
female,15,3rd,Lebanon,yes
female,36,1st,United States,yes
male,26,3rd,Lebanon,no
male,45,3rd,Lebanon,no
female,23,3rd,Lebanon,yes
female,24,2nd,France,no
male,22,3rd,Turkey,no
male,27,3rd,Turkey,no
male,25,3rd,Lebanon,yes
male,29,3rd,Germany,no
male,21,victualling crew,England,no
male,34,engineering crew,England,no
male,26,engineering crew,England,no
male,20,victualling crew,Channel Islands,no
male,31,victualling crew,England,no
male,37,victualling crew,England,no
male,22,restaurant staff,England,no
male,24,engineering crew,England,yes
male,17,victualling crew,England,no
male,26,victualling crew,England,no
male,30,engineering crew,England,no
male,36,victualling crew,England,no
male,36,engineering crew,England,no
male,41,victualling crew,England,no
male,40,deck crew,England,yes
male,48,victualling crew,England,no
male,19,victualling crew,England,yes
male,35,deck crew,England,yes
male,26,victualling crew,England,no
male,41,victualling crew,Ireland,no
male,26,restaurant staff,England,no
male,21,engineering crew,England,yes
male,23,victualling crew,England,no
male,37,victualling crew,England,no
male,28,victualling crew,England,yes
male,33,victualling crew,England,no
male,36,victualling crew,England,no
male,46,engineering crew,Wales,no
male,46,deck crew,England,yes
male,24,engineering crew,England,no
male,19,victualling crew,England,yes
male,24,restaurant staff,England,no
male,34,engineering crew,England,no
male,19,victualling crew,England,no
male,41,victualling crew,England,no
male,42,victualling crew,England,no
male,30,engineering crew,England,no
male,36,victualling crew,England,no
male,29,engineering crew,England,no
male,40,victualling crew,England,no
male,40,engineering crew,England,no
male,16,victualling crew,England,no
male,28,engineering crew,England,yes
male,33,engineering crew,England,no
male,34,victualling crew,England,no
male,36,victualling crew,England,no
male,32,victualling crew,England,no
male,26,victualling crew,England,no
male,27,restaurant staff,England,no
male,53,victualling crew,England,no
male,55,victualling crew,Scotland,no
male,33,restaurant staff,England,no
male,35,engineering crew,Northern Ireland,no
male,24,engineering crew,England,yes
male,31,victualling crew,England,no
male,35,victualling crew,England,no
male,19,victualling crew,England,no
male,51,engineering crew,England,no
male,24,engineering crew,England,no
male,30,victualling crew,England,no
male,30,engineering crew,England,no
female,33,victualling crew,England,yes
male,47,engineering crew,England,no
male,22,restaurant staff,England,no
male,31,victualling crew,England,no
male,39,engineering crew,England,no
male,40,victualling crew,England,no
male,26,restaurant staff,England,no
male,22,engineering crew,England,no
male,31,engineering crew,England,no
male,28,restaurant staff,England,no
male,20,engineering crew,England,no
male,20,engineering crew,England,no
male,20,engineering crew,England,yes
male,34,victualling crew,England,no
male,23,engineering crew,England,no
male,28,engineering crew,England,no
male,41,engineering crew,England,no
male,23,engineering crew,England,yes
male,26,engineering crew,England,no
male,37,engineering crew,England,no
male,32,engineering crew,Northern Ireland,no
male,22,engineering crew,England,no
female,45,victualling crew,Switzerland,yes
male,26,restaurant staff,England,no
male,30,victualling crew,England,no
male,43,restaurant staff,England,no
male,59,victualling crew,Scotland,no
male,27,restaurant staff,England,no
male,40,victualling crew,England,no
male,38,victualling crew,England,no
male,33,victualling crew,England,no
male,46,engineering crew,England,no
male,24,victualling crew,England,no
female,31,restaurant staff,England,yes
male,28,deck crew,England,yes
male,37,victualling crew,England,no
male,36,victualling crew,England,no
male,39,engineering crew,England,no
male,29,deck crew,England,no
male,43,victualling crew,England,no
male,30,engineering crew,England,no
male,52,victualling crew,England,no
male,34,engineering crew,England,no
male,43,deck crew,England,yes
male,22,victualling crew,England,yes
male,42,deck crew,England,yes
male,38,victualling crew,NA,no
male,31,victualling crew,England,no
male,28,victualling crew,England,no
male,25,engineering crew,England,no
male,31,victualling crew,England,no
male,33,victualling crew,England,no
male,34,victualling crew,Wales,yes
male,28,engineering crew,Wales,no
male,25,engineering crew,England,no
male,41,victualling crew,England,no
male,34,victualling crew,England,no
male,26,deck crew,England,yes
male,22,victualling crew,England,no
male,37,victualling crew,England,no
male,21,victualling crew,England,no
male,18,victualling crew,England,yes
male,30,victualling crew,England,no
male,31,victualling crew,Ireland,yes
male,20,victualling crew,England,yes
male,29,victualling crew,England,no
male,35,engineering crew,England,no
male,35,engineering crew,England,no
male,23,victualling crew,England,no
male,22,victualling crew,England,no
male,31,engineering crew,England,no
male,45,victualling crew,England,no
male,30,engineering crew,Northern Ireland,no
male,25,victualling crew,Australia,no
male,40,engineering crew,England,no
male,31,victualling crew,England,no
male,27,engineering crew,England,no
male,46,engineering crew,England,no
male,33,victualling crew,England,no
male,32,restaurant staff,Italy,no
male,44,engineering crew,England,no
male,34,victualling crew,England,no
male,37,engineering crew,England,no
female,33,victualling crew,England,yes
male,28,victualling crew,England,no
male,22,engineering crew,England,yes
male,39,victualling crew,England,no
male,21,victualling crew,England,no
male,25,restaurant staff,England,no
male,32,victualling crew,England,yes
male,25,victualling crew,England,no
male,25,engineering crew,England,no
male,28,victualling crew,England,no
male,37,engineering crew,England,no
male,29,victualling crew,England,no
male,50,victualling crew,England,no
male,25,engineering crew,England,no
male,34,victualling crew,England,no
male,40,engineering crew,Ireland,yes
male,33,deck crew,England,yes
male,31,deck crew,England,no
male,22,engineering crew,England,no
male,29,victualling crew,England,no
male,58,engineering crew,Ireland,no
male,33,victualling crew,England,yes
male,17,victualling crew,Northern Ireland,yes
male,38,engineering crew,England,yes
male,34,engineering crew,England,yes
male,25,victualling crew,England,no
male,32,victualling crew,England,no
male,45,victualling crew,England,no
male,26,engineering crew,England,no
male,26,engineering crew,England,no
male,28,engineering crew,England,no
male,27,victualling crew,England,no
male,33,engineering crew,England,no
male,19,restaurant staff,England,no
male,36,engineering crew,England,no
male,28,deck crew,England,no
male,49,engineering crew,England,no
male,30,engineering crew,England,yes
male,28,restaurant staff,France,no
male,30,victualling crew,England,no
male,27,engineering crew,England,no
male,23,engineering crew,England,no
male,20,victualling crew,England,yes
male,43,victualling crew,England,yes
male,45,engineering crew,England,no
male,21,engineering crew,England,yes
male,33,victualling crew,England,no
male,39,victualling crew,England,no
male,45,victualling crew,England,no
male,44,engineering crew,England,no
male,17,restaurant staff,England,no
male,30,victualling crew,England,yes
male,35,victualling crew,England,no
male,49,victualling crew,England,yes
male,38,victualling crew,Scotland,yes
male,35,engineering crew,England,no
male,26,engineering crew,England,no
male,18,victualling crew,England,yes
male,18,victualling crew,England,no
male,32,victualling crew,England,no
male,26,victualling crew,Wales,no
male,33,engineering crew,England,no
male,29,victualling crew,England,no
male,39,deck crew,England,no
male,23,engineering crew,England,no
male,19,victualling crew,England,no
male,18,restaurant staff,England,no
male,35,victualling crew,England,no
male,20,restaurant staff,England,no
male,29,victualling crew,England,no
male,38,victualling crew,England,no
male,20,restaurant staff,England,no
male,27,engineering crew,England,yes
male,37,engineering crew,England,no
male,30,engineering crew,England,yes
male,34,engineering crew,England,yes
male,49,victualling crew,England,no
male,39,engineering crew,England,no
male,44,victualling crew,England,no
male,27,engineering crew,Guyana,no
male,22,engineering crew,England,yes
male,39,victualling crew,England,no
male,17,restaurant staff,Italy,no
male,35,victualling crew,England,no
male,23,engineering crew,England,yes
male,20,restaurant staff,England,no
male,22,victualling crew,England,no
male,27,engineering crew,England,no
male,36,engineering crew,Ireland,no
male,48,victualling crew,England,no
male,38,engineering crew,England,no
male,24,engineering crew,India,no
male,33,victualling crew,England,no
male,41,engineering crew,England,yes
male,22,engineering crew,England,no
male,44,engineering crew,England,no
male,23,victualling crew,England,no
male,23,victualling crew,England,no
male,39,victualling crew,England,no
male,39,victualling crew,Wales,no
male,48,victualling crew,England,no
male,23,engineering crew,England,no
male,29,victualling crew,England,yes
male,34,victualling crew,England,no
male,18,engineering crew,Northern Ireland,no
male,43,victualling crew,England,yes
male,25,deck crew,England,yes
male,27,deck crew,England,yes
male,27,victualling crew,England,no
male,33,engineering crew,England,no
male,38,victualling crew,England,no
male,22,victualling crew,England,no
male,39,engineering crew,England,no
male,37,victualling crew,England,yes
male,30,engineering crew,England,no
male,29,victualling crew,England,no
male,42,victualling crew,England,no
male,33,engineering crew,England,no
male,39,engineering crew,England,no
male,30,restaurant staff,England,no
male,19,victualling crew,England,no
male,23,restaurant staff,England,no
male,21,engineering crew,England,yes
male,29,engineering crew,England,no
male,52,engineering crew,England,yes
male,24,deck crew,England,yes
male,26,victualling crew,England,no
male,46,deck crew,Ireland,yes
male,22,victualling crew,Wales,yes
male,33,victualling crew,England,no
male,44,victualling crew,England,no
male,22,engineering crew,England,no
male,33,engineering crew,England,no
male,27,deck crew,England,yes
male,37,engineering crew,England,no
male,27,victualling crew,England,no
male,28,victualling crew,England,no
male,30,engineering crew,England,no
male,30,engineering crew,Scotland,no
male,21,engineering crew,England,yes
male,45,victualling crew,England,no
male,29,engineering crew,England,yes
male,37,restaurant staff,England,no
male,32,victualling crew,England,no
male,26,engineering crew,England,no
male,36,victualling crew,England,yes
male,31,restaurant staff,England,no
male,32,victualling crew,England,no
male,38,victualling crew,England,no
male,38,victualling crew,England,no
male,61,engineering crew,England,yes
male,36,engineering crew,England,no
